step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
212,91,113,0.0,-69.0,2380.5,,,23.5,24,0.5
213,63,63,0.0,0.0,,,,24.0,24,
214,8,8,0.0,0.0,,,,19.0,19,
215,106,971,23.5,-4.578947368421052,570.7233201581029,1.3913645630950766,2.3995072731925493,19.0,19,0.0
216,48,89,3.5,0.0,24.5,,,19.0,19,0.0
217,30,383,0.6111111111111112,-6.333333333333333,47.090476190476195,-0.019838601006726884,-1.0177789930970151,19.285714285714285,21,0.5142857142857142
218,9260,10286,2309.25,-9211.0,16329019.200000001,2.1974427594782,4.852311844842994,-18.0,-18,0.0
219,9893,533900,2465.75,-172.27777777777777,5368891.267997579,-3.443652738104485,10.710498937326163,-18.0,-18,0.0
220,9893,60781,4341.0,-1613.5,18135559.125,-1.457105481367816,0.10968159177143644,-18.0,-18,0.0
221,148,262,17.0,0.0,578.0,,,-18.0,-18,0.0
222,211,344,62.5,-164.0,7340.333333333332,1.3371108356135788,,-18.0,-18,0.0
223,118,128,54.0,0.0,5832.0,,,24.0,24,0.0
224,260,368,76.0,0.0,11552.0,,,-18.0,-18,0.0
225,441,772,0.0,-110.0,6050.0,,,-18.0,-18,0.0
226,37,136,5.25,-7.0,57.7,-0.4216365461634311,1.3948018946982685,-18.0,-18,0.0
227,26,26,0.0,0.0,,,,-18.0,-18,
228,5255,6492,1597.0,-5169.0,5924390.0,1.9372807669892673,3.800543493001104,-13.25,1,90.25
229,550,690,0.0,-410.0,84050.0,,,-18.0,-18,0.0
230,1911,3703,455.5,-1119.0,354224.3333333333,1.497109092507938,,-18.0,-18,0.0
231,2545,4192,783.0,-1877.0,1012034.3333333334,1.547689892890337,,-18.0,-18,0.0
232,298,331,0.0,-265.0,35112.5,,,19.5,20,0.5
233,8,16,0.0,0.0,0.0,,,21.0,21,0.0
234,19,658,0.8125,-0.48148148148148145,15.977851605758584,-1.094295721286213,0.22645317379881025,23.813953488372093,25,0.7740863787375415
235,10,34,1.0,-1.0,1.0,1.9999999999999998,4.0,25.0,25,0.0
236,27,27,0.0,0.0,,,,25.0,25,
237,208,246,96.0,-186.0,11916.0,1.7261657808807271,,24.666666666666668,25,0.33333333333333337
238,20,20,0.0,0.0,,,,25.0,25,
239,18,18,0.0,0.0,,,,24.0,24,
