,step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
24,25.0,54.0,115.8,3.06,-10.933333333333332,146.21666666666667,2.266865019678308,8.65874104557231
25,26.0,68.8,237.2,6.540000000000001,-0.8888888888888888,240.88512820512824,2.459898037452809,5.059135905961355
26,27.0,95.6,116.0,9.9,0.0,4900.5,,
27,28.0,73.0,105.2,4.6,0.0,352.6666666666667,0.0,0.0
28,29.0,64.4,94.2,0.0,-21.25,1204.1666666666667,0.0,0.0
29,30.0,65.8,98.4,0.0,-21.5,1179.0,2.0,4.0
30,31.0,82.2,136.2,4.8,-21.5,619.1111111111111,0.3459716028344226,
31,32.0,72.4,291.8,6.42,-8.083333333333334,482.625,-0.43127270226122655,0.2830021041999826
32,33.0,84.0,144.0,12.1,-31.6,1707.25,0.6748405731034941,0.0
33,34.0,52.0,60.4,0.0,0.0,0.0,0.0,
34,35.0,78.4,170.6,9.1,-7.833333333333333,943.4583333333334,-0.40428019709102125,-0.7631796829216064
35,36.0,85.6,125.0,15.5,0.0,3279.25,,
36,37.0,70.2,94.4,2.3,0.0,132.25,,
37,38.0,73.0,95.8,0.0,-24.333333333333332,1332.25,,
38,39.0,80.2,137.4,3.0,-47.0,2305.333333333333,-1.0030113418253417,
39,40.0,60.6,199.2,8.7,-3.642857142857143,1436.5,0.2036898243669855,-0.6750791982298674
40,41.0,60.5,311.75,1.3125,-0.7575757575757577,28.03333333333334,0.2473848722597429,-0.415086510450307
41,42.0,66.25,367.25,0.6875,-0.4666666666666666,12.760233918128655,-0.1589371354126244,-0.2928951292618666
42,43.0,72.75,109.25,4.75,-9.0,361.3333333333333,-0.1576277674957999,
43,44.0,88.25,209.75,7.0,-10.444444444444443,711.8,0.1333412356231314,-2.0095232053796157
44,45.0,89.33333333333333,1794.3333333333333,2.0,-0.11428571428571427,13.683913365420215,0.2616782131579995,0.0640977061409602
45,46.0,77.66666666666667,77.66666666666667,0.0,0.0,,,
46,47.0,81.0,1369.3333333333333,1.5714285714285714,-0.3,42.05041628122109,-0.02560784891284655,-0.22705817369746484
47,48.0,81.33333333333333,916.0,0.3508771929824561,-12.0,84.76518218623481,3.10477284806517,10.12569004756243
48,49.0,88.33333333333333,691.0,4.777777777777778,-18.92156862745098,465.8815789473684,0.8386739373701659,0.5303573067494654
49,50.0,80.0,796.6666666666666,1.1481481481481481,-0.75,53.98029556650247,-1.5457559790042332,2.7526863556619605
50,51.0,72.66666666666667,245.0,2.6666666666666665,-16.583333333333332,266.9920634920635,-0.7607799856752089,-0.7514388919858312
51,52.0,101.66666666666667,1815.3333333333333,7.833333333333333,-0.4080459770114943,77.87838983050847,0.9480043494534162,6.750864235756426
52,53.0,89.0,176.0,13.0,-3.5,869.4166666666666,-0.9352195295828284,
53,54.0,106.33333333333333,156.66666666666666,11.0,-31.5,1389.0,1.719433692081859,
54,55.0,105.33333333333333,164.0,24.333333333333332,-0.06666666666666667,5329.083333333333,2.449489742783165,5.999999999999936
55,56.0,82.66666666666667,125.0,0.0,-1.3333333333333333,4.0,,
56,57.0,125.0,176.0,12.0,0.0,1152.0,,
57,58.0,140.0,210.5,5.5,0.0,242.0,,
58,59.0,142.5,186.0,13.0,0.0,1352.0,,
59,60.0,130.0,172.5,11.5,0.0,1058.0,,
60,61.0,116.5,156.0,9.75,0.0,760.5,,
61,62.0,134.0,201.5,0.0,-18.0,648.0,,
62,63.0,116.0,154.0,8.5,0.0,578.0,,
63,64.0,160.0,238.0,35.25,-57.5,5630.333333333333,1.5010461050198889,
64,65.0,116.5,147.0,0.0,-27.5,1512.5,,
65,66.0,157.5,320.5,12.0,-64.0,3599.0833333333335,-0.1866799993659876,-2.565176612918954
66,67.0,128.0,321.0,5.3,-21.0,396.7,-0.0183389761100505,-1.3721375026855345
67,68.0,128.0,507.0,16.25,-4.25,855.3333333333334,-1.9750530956362944,4.000888656297494
68,69.0,135.0,250.0,5.0,-13.0,185.33333333333331,1.361301396376004,
69,70.0,82.0,144.0,0.0,-20.0,200.5,,
70,71.0,163.0,587.5,26.83333333333333,-18.5,4084.571428571429,-0.9317941857847551,-0.9865433134645584
