id,cid,counter,tData,tData_2,tData_3,tData_4,pData,pData_2,pData_3,pData_4,created_at,updated_at
610,13,1693939701253,31,32,32,32,112,136,0,0,2023-09-05 20:48:22,2023-09-05 20:48:22
611,13,1693939701623,31,31,32,31,61,23,75,0,2023-09-05 20:48:22,2023-09-05 20:48:22
612,13,1693939701983,31,31,32,31,30,20,0,0,2023-09-05 20:48:23,2023-09-05 20:48:23
613,13,1693939702423,31,31,32,31,30,19,0,0,2023-09-05 20:48:23,2023-09-05 20:48:23
614,13,1693939702690,31,31,32,31,30,18,0,0,2023-09-05 20:48:23,2023-09-05 20:48:23
615,14,1693939703724,30,31,31,31,30,17,0,0,2023-09-05 20:48:24,2023-09-05 20:48:24
616,14,1693939704092,30,31,31,31,30,17,0,0,2023-09-05 20:48:25,2023-09-05 20:48:25
617,14,1693939704448,30,31,31,31,30,17,0,0,2023-09-05 20:48:25,2023-09-05 20:48:25
618,14,1693939704821,30,31,31,31,30,16,0,0,2023-09-05 20:48:25,2023-09-05 20:48:25
619,14,1693939705219,30,31,31,31,30,16,0,0,2023-09-05 20:48:26,2023-09-05 20:48:26
620,14,1693939705531,30,31,31,31,29,16,27,110,2023-09-05 20:48:26,2023-09-05 20:48:26
621,14,1693939705849,30,31,31,32,85,16,85,0,2023-09-05 20:48:26,2023-09-05 20:48:26
622,14,1693939706198,30,31,31,31,69,174,0,0,2023-09-05 20:48:27,2023-09-05 20:48:27
623,14,1693939706559,30,32,31,32,29,94,0,114,2023-09-05 20:48:27,2023-09-05 20:48:27
624,14,1693939706940,30,31,32,32,55,26,103,0,2023-09-05 20:48:27,2023-09-05 20:48:27
625,14,1693939707295,31,31,32,32,97,127,0,0,2023-09-05 20:48:28,2023-09-05 20:48:28
626,14,1693939707654,31,32,32,32,30,56,10,79,2023-09-05 20:48:28,2023-09-05 20:48:28
627,14,1693939707966,31,32,32,32,89,22,106,0,2023-09-05 20:48:29,2023-09-05 20:48:29
628,14,1693939708329,31,32,32,32,62,19,0,0,2023-09-05 20:48:29,2023-09-05 20:48:29
629,14,1693939708686,31,31,32,32,31,19,0,0,2023-09-05 20:48:29,2023-09-05 20:48:29
630,14,1693939709038,31,31,32,32,30,18,0,0,2023-09-05 20:48:30,2023-09-05 20:48:30
631,14,1693939709398,31,31,32,31,30,17,0,0,2023-09-05 20:48:30,2023-09-05 20:48:30
632,14,1693939709806,31,31,32,31,30,17,0,0,2023-09-05 20:48:30,2023-09-05 20:48:30
633,14,1693939710087,31,31,32,31,30,17,0,0,2023-09-05 20:48:31,2023-09-05 20:48:31
634,0,1693939783245,30,30,31,30,30,16,0,0,2023-09-05 20:49:44,2023-09-05 20:49:44
635,0,1693939783638,30,30,31,30,30,16,0,0,2023-09-05 20:49:44,2023-09-05 20:49:44
660,17,1693939891460,30,30,31,28,30,16,0,0,2023-09-05 20:51:32,2023-09-05 20:51:32
661,17,1693939891935,30,30,31,28,30,16,0,0,2023-09-05 20:51:32,2023-09-05 20:51:32
662,17,1693939892157,30,30,31,28,30,16,0,0,2023-09-05 20:51:33,2023-09-05 20:51:33
663,17,1693939892542,30,30,31,28,30,16,0,0,2023-09-05 20:51:33,2023-09-05 20:51:33
664,17,1693939892905,30,30,31,28,30,16,0,0,2023-09-05 20:51:33,2023-09-05 20:51:33
665,17,1693939893262,30,30,31,28,30,16,0,0,2023-09-05 20:51:34,2023-09-05 20:51:34
666,17,1693939893627,30,30,31,29,30,16,0,39,2023-09-05 20:51:34,2023-09-05 20:51:34
667,17,1693939893937,30,31,31,30,30,47,0,153,2023-09-05 20:51:34,2023-09-05 20:51:34
668,17,1693939894301,30,32,31,30,30,226,0,0,2023-09-05 20:51:35,2023-09-05 20:51:35
669,17,1693939894659,31,32,31,30,149,44,0,0,2023-09-05 20:51:35,2023-09-05 20:51:35
670,17,1693939895032,32,32,31,29,112,17,29,0,2023-09-05 20:51:36,2023-09-05 20:51:36
671,17,1693939895389,31,32,32,29,30,17,175,29,2023-09-05 20:51:36,2023-09-05 20:51:36
672,17,1693939895751,31,32,32,30,29,34,0,154,2023-09-05 20:51:36,2023-09-05 20:51:36
673,17,1693939896059,31,32,32,30,30,237,0,0,2023-09-05 20:51:37,2023-09-05 20:51:37
674,17,1693939896432,32,32,32,30,169,52,0,0,2023-09-05 20:51:37,2023-09-05 20:51:37
675,17,1693939896787,32,32,32,30,89,19,115,0,2023-09-05 20:51:37,2023-09-05 20:51:37
676,17,1693939897180,32,32,33,30,30,19,85,80,2023-09-05 20:51:38,2023-09-05 20:51:38
677,17,1693939897549,32,32,32,30,30,132,0,114,2023-09-05 20:51:38,2023-09-05 20:51:38
678,17,1693939897864,32,32,32,30,59,191,0,0,2023-09-05 20:51:38,2023-09-05 20:51:38
679,17,1693939898234,32,32,32,30,146,18,0,0,2023-09-05 20:51:39,2023-09-05 20:51:39
680,17,1693939898537,32,32,32,30,30,18,141,0,2023-09-05 20:51:39,2023-09-05 20:51:39
681,17,1693939898896,32,32,32,30,30,17,0,122,2023-09-05 20:51:39,2023-09-05 20:51:39
682,17,1693939899246,32,32,32,30,30,99,0,0,2023-09-05 20:51:40,2023-09-05 20:51:40
683,17,1693939899612,32,32,32,30,30,62,0,0,2023-09-05 20:51:40,2023-09-05 20:51:40
684,17,1693939899969,31,32,32,30,30,18,0,0,2023-09-05 20:51:41,2023-09-05 20:51:41
685,17,1693939900342,31,31,32,30,30,17,0,0,2023-09-05 20:51:41,2023-09-05 20:51:41
686,17,1693939900646,31,31,32,29,30,17,0,0,2023-09-05 20:51:41,2023-09-05 20:51:41
687,17,1693939901047,31,31,32,29,30,17,0,0,2023-09-05 20:51:42,2023-09-05 20:51:42
688,17,1693939903872,31,31,32,29,30,16,0,0,2023-09-05 20:51:44,2023-09-05 20:51:44
689,17,1693939904216,31,31,32,29,30,16,0,0,2023-09-05 20:51:45,2023-09-05 20:51:45
690,17,1693939904564,31,31,32,29,30,16,0,0,2023-09-05 20:51:45,2023-09-05 20:51:45
691,18,1693939904921,31,31,32,29,30,16,0,0,2023-09-05 20:51:45,2023-09-05 20:51:45
692,18,1693939905233,31,31,32,29,30,16,0,0,2023-09-05 20:51:46,2023-09-05 20:51:46
693,18,1693939905605,31,31,32,29,30,16,0,0,2023-09-05 20:51:46,2023-09-05 20:51:46
694,18,1693939905953,31,31,32,30,29,16,0,135,2023-09-05 20:51:46,2023-09-05 20:51:46
695,18,1693939906322,31,31,32,31,31,16,141,0,2023-09-05 20:51:47,2023-09-05 20:51:47
696,18,1693939906675,32,31,33,30,202,19,0,0,2023-09-05 20:51:47,2023-09-05 20:51:47
697,18,1693939907033,32,32,33,30,35,195,0,0,2023-09-05 20:51:48,2023-09-05 20:51:48
698,18,1693939907455,32,32,32,30,30,37,0,81,2023-09-05 20:51:48,2023-09-05 20:51:48
699,18,1693939907710,32,32,33,31,30,18,137,51,2023-09-05 20:51:48,2023-09-05 20:51:48
700,18,1693939908080,32,32,33,31,112,17,55,0,2023-09-05 20:51:49,2023-09-05 20:51:49
701,18,1693939908445,32,32,33,31,110,121,0,0,2023-09-05 20:51:49,2023-09-05 20:51:49
702,18,1693939908865,32,32,33,30,30,105,0,39,2023-09-05 20:51:49,2023-09-05 20:51:49
703,18,1693939909151,32,32,33,31,30,19,40,80,2023-09-05 20:51:50,2023-09-05 20:51:50
704,18,1693939909524,32,32,33,31,71,18,106,0,2023-09-05 20:51:50,2023-09-05 20:51:50
705,18,1693939909866,32,32,33,31,142,93,0,0,2023-09-05 20:51:50,2023-09-05 20:51:50
706,18,1693939910198,32,33,33,30,30,141,0,20,2023-09-05 20:51:51,2023-09-05 20:51:51
707,18,1693939910563,32,33,33,31,30,17,11,80,2023-09-05 20:51:51,2023-09-05 20:51:51
708,18,1693939910905,32,32,33,31,44,17,88,0,2023-09-05 20:51:51,2023-09-05 20:51:51
709,18,1693939911264,33,32,33,31,164,37,0,0,2023-09-05 20:51:52,2023-09-05 20:51:52
710,18,1693939911623,33,33,33,31,31,129,0,0,2023-09-05 20:51:52,2023-09-05 20:51:52
711,18,1693939911938,32,33,33,31,30,18,0,0,2023-09-05 20:51:52,2023-09-05 20:51:52
712,18,1693939912304,32,33,33,30,30,17,0,0,2023-09-05 20:51:53,2023-09-05 20:51:53
713,18,1693939912655,32,32,33,30,30,16,0,0,2023-09-05 20:51:53,2023-09-05 20:51:53
714,18,1693939913027,32,32,33,30,30,16,0,0,2023-09-05 20:51:54,2023-09-05 20:51:54
715,18,1693939913378,32,32,33,30,30,16,0,0,2023-09-05 20:51:54,2023-09-05 20:51:54
716,18,1693939914502,32,32,33,30,30,16,0,0,2023-09-05 20:51:55,2023-09-05 20:51:55
717,19,1693939914872,32,32,33,30,30,16,0,0,2023-09-05 20:51:55,2023-09-05 20:51:55
718,19,1693939915133,32,32,33,30,30,16,0,0,2023-09-05 20:51:56,2023-09-05 20:51:56
719,19,1693939915494,32,33,33,30,30,16,0,0,2023-09-05 20:51:56,2023-09-05 20:51:56
720,19,1693939915869,32,33,33,30,128,16,0,0,2023-09-05 20:51:56,2023-09-05 20:51:56
721,19,1693939916231,32,32,33,30,49,16,132,0,2023-09-05 20:51:57,2023-09-05 20:51:57
722,19,1693939916542,32,32,33,31,30,16,0,88,2023-09-05 20:51:57,2023-09-05 20:51:57
723,19,1693939916885,32,32,33,31,30,137,0,0,2023-09-05 20:51:57,2023-09-05 20:51:57
724,19,1693939917263,32,32,33,31,135,31,0,0,2023-09-05 20:51:58,2023-09-05 20:51:58
725,19,1693939917652,32,32,33,31,69,16,101,0,2023-09-05 20:51:58,2023-09-05 20:51:58
726,19,1693939917975,32,32,33,31,30,16,60,76,2023-09-05 20:51:59,2023-09-05 20:51:59
727,19,1693939918335,32,33,33,31,30,124,0,42,2023-09-05 20:51:59,2023-09-05 20:51:59
728,19,1693939918738,32,33,33,31,108,55,0,0,2023-09-05 20:51:59,2023-09-05 20:51:59
729,19,1693939919006,32,33,33,31,88,16,0,0,2023-09-05 20:52:00,2023-09-05 20:52:00
730,19,1693939919379,32,33,33,31,30,16,0,0,2023-09-05 20:52:00,2023-09-05 20:52:00
731,19,1693939919727,32,33,33,31,30,16,0,0,2023-09-05 20:52:00,2023-09-05 20:52:00
732,19,1693939920082,32,32,33,31,30,16,0,0,2023-09-05 20:52:01,2023-09-05 20:52:01
733,19,1693939920454,32,32,33,31,30,16,0,0,2023-09-05 20:52:01,2023-09-05 20:52:01
734,19,1693939920874,32,32,33,30,30,16,0,0,2023-09-05 20:52:01,2023-09-05 20:52:01
830,0,1693940490987,29,30,31,27,30,16,0,0,2023-09-05 21:01:32,2023-09-05 21:01:32
831,24,1693940491327,29,30,31,27,30,16,0,0,2023-09-05 21:01:32,2023-09-05 21:01:32
832,24,1693940491695,29,30,31,27,30,16,0,0,2023-09-05 21:01:32,2023-09-05 21:01:32
833,24,1693940492060,29,30,31,27,30,16,0,0,2023-09-05 21:01:33,2023-09-05 21:01:33
834,24,1693940492448,29,30,31,27,30,16,0,0,2023-09-05 21:01:33,2023-09-05 21:01:33
835,24,1693940492773,29,30,31,27,30,16,0,0,2023-09-05 21:01:33,2023-09-05 21:01:33
836,24,1693940493154,29,30,31,27,30,16,0,0,2023-09-05 21:01:34,2023-09-05 21:01:34
837,24,1693940493471,29,30,31,27,30,16,0,0,2023-09-05 21:01:34,2023-09-05 21:01:34
838,24,1693940493840,29,30,31,27,30,16,0,0,2023-09-05 21:01:34,2023-09-05 21:01:34
839,24,1693940494167,29,30,31,27,34,16,0,0,2023-09-05 21:01:35,2023-09-05 21:01:35
840,24,1693940494562,29,30,31,27,30,88,0,0,2023-09-05 21:01:35,2023-09-05 21:01:35
841,24,1693940494936,29,30,31,27,31,23,0,0,2023-09-05 21:01:35,2023-09-05 21:01:35
842,24,1693940495288,29,30,31,27,30,44,43,0,2023-09-05 21:01:36,2023-09-05 21:01:36
843,24,1693940495601,29,30,31,27,35,129,0,0,2023-09-05 21:01:36,2023-09-05 21:01:36
844,24,1693940495948,29,30,31,27,63,60,0,0,2023-09-05 21:01:36,2023-09-05 21:01:36
845,24,1693940496314,29,30,31,27,33,22,0,0,2023-09-05 21:01:37,2023-09-05 21:01:37
846,24,1693940496666,29,30,31,27,73,19,0,0,2023-09-05 21:01:37,2023-09-05 21:01:37
847,24,1693940497039,29,30,31,27,36,17,0,0,2023-09-05 21:01:38,2023-09-05 21:01:38
848,24,1693940497388,29,30,31,27,30,17,0,0,2023-09-05 21:01:38,2023-09-05 21:01:38
849,24,1693940497765,29,30,31,27,30,17,0,0,2023-09-05 21:01:38,2023-09-05 21:01:38
850,24,1693940498046,29,30,31,27,30,17,0,0,2023-09-05 21:01:39,2023-09-05 21:01:39
851,24,1693940498423,29,30,31,27,30,16,0,0,2023-09-05 21:01:39,2023-09-05 21:01:39
852,24,1693940498811,29,30,31,27,30,16,0,0,2023-09-05 21:01:39,2023-09-05 21:01:39
853,24,1693940506588,29,30,31,27,30,16,0,0,2023-09-05 21:01:47,2023-09-05 21:01:47
854,24,1693940506938,29,30,31,27,30,16,0,0,2023-09-05 21:01:47,2023-09-05 21:01:47
855,25,1693940507278,29,30,31,27,30,16,0,0,2023-09-05 21:01:48,2023-09-05 21:01:48
856,25,1693940507663,29,30,31,27,30,16,0,0,2023-09-05 21:01:48,2023-09-05 21:01:48
857,25,1693940507984,29,30,31,27,30,16,0,0,2023-09-05 21:01:49,2023-09-05 21:01:49
858,25,1693940508318,29,30,31,27,30,16,0,0,2023-09-05 21:01:49,2023-09-05 21:01:49
859,25,1693940508690,29,30,31,27,30,16,0,0,2023-09-05 21:01:49,2023-09-05 21:01:49
860,25,1693940509033,29,30,31,28,30,16,0,0,2023-09-05 21:01:50,2023-09-05 21:01:50
861,25,1693940509353,29,30,31,28,30,16,0,0,2023-09-05 21:01:50,2023-09-05 21:01:50
862,25,1693940509705,29,30,31,28,30,16,0,2,2023-09-05 21:01:50,2023-09-05 21:01:50
